feature,train_weighted_corr,valid_weighted_corr,single_feature_valid_r2
ts_xs_rank_feature_175,-0.0019058605314964904,-0.004698530248630825,0.8254941627429038
ts_ema20_feature_065,-0.000782219171591412,-0.005611471264513951,0.8254940818009473
ts_lag1_feature_065,-0.0007829761099538952,-0.005605244808573448,0.8254940783197986
ts_ema5_feature_065,-0.0007823026535854826,-0.005606530206052922,0.8254940779048783
feature_073,0.0012704183280257506,0.003055624641164121,0.8254940495555645
ts_xs_rank_delta1_feature_236,0.004437300038288452,0.0034088806152078135,0.8254940416297079
ts_historical_zscore20_feature_275,-0.005840526891656175,-0.004197805078351309,0.8254940111598439
ts_ema20_feature_073,0.004154458899121166,0.0030678085546977873,0.8254939455422802
ts_ema5_feature_073,0.004152751759844094,0.0030593208961390917,0.8254939396186755
ts_lag1_feature_073,0.004152393781800192,0.003056928766760879,0.8254939380512554
ts_xs_rank_delta1_feature_235,0.00143628985771979,0.004372804869512757,0.8254939327820978
ts_xs_rank_delta1_feature_067,-0.0014321462329577239,-0.004063199512682557,0.8254938737862084
ts_xs_rank_delta1_feature_141,-0.002644618101612935,-0.0031775219995926383,0.8254938497745274
feature_182,-0.0016952660147936944,-0.005639915903445942,0.8254937177749766
feature_126,-0.022384531462680164,-0.011109688856182806,0.8254937088767619
ts_minus_ema20_feature_072,0.005530464333841385,0.0046295648348181105,0.8254936803994253
ts_minus_ema20_feature_080,-0.000660558816424798,-0.010408912087068485,0.8254935492496263
ts_xs_rank_delta1_feature_278,0.0025664030750004604,0.0029251401273615147,0.8254935276302563
ts_delta1_feature_071,0.007819383338513859,0.004861857401157059,0.8254934948322759
ts_xs_rank_feature_232,0.0013313055215057976,-0.002697545755150464,0.8254934745446234
ts_xs_rank_delta1_feature_083,0.00375881902736774,0.0025375852243269066,0.8254934228742667
ts_historical_zscore20_feature_169,-0.001962255787813349,-0.006331140790924801,0.8254933069828483
ts_ema20_feature_262,0.0004047673371962024,0.003023835576794891,0.8254932893954158
ts_xs_rank_feature_028,-0.0004823547364099836,-0.0003258983741945573,0.8254932861558757
ts_delta5_feature_071,0.004060280647889781,0.001534475513777814,0.8254932215939217
ts_ema5_feature_262,0.0003695368064195308,0.0030449281673322476,0.8254931969233772
ts_xs_rank_feature_066,0.0020590270223151174,-0.000793620670901399,0.8254931814650623
ts_xs_rank_feature_074,-0.0020560898294973325,0.0008760866302817865,0.8254931570445007
ts_xs_rank_feature_064,0.002050586947404546,-0.0008871197038812338,0.8254931485479546
ts_lag1_feature_262,0.00034437675353870016,0.003053510874782311,0.8254931316446015
ts_xs_rank_feature_106,-0.0006566595990764238,-0.0022872096935713784,0.8254931149578676
feature_098,0.023279051756984026,0.011386245956355782,0.8254930657936725
ts_xs_rank_feature_059,0.0018524800415884043,-0.000990789448711814,0.8254930267498926
ts_xs_rank_delta1_feature_131,-0.0015237961373323985,-0.0025686105189952637,0.8254930103418578
ts_minus_ema20_feature_310,-0.014073688441453012,-0.003973501204693944,0.8254927947747233
ts_xs_rank_feature_119,-0.0002725032270083108,-0.0008304737509564734,0.8254927899913457
ts_lag1_feature_301,0.003976455206756273,-0.0051248084371071975,0.8254927820380646
ts_ema5_feature_301,0.003976585173860116,0.0,0.8254927817309244
ts_ema20_feature_301,0.003976635580294908,-0.008167471966580587,0.8254927795792089
feature_214,0.00465707716034595,0.00293986313240966,0.8254927676986488
ts_xs_rank_delta1_feature_198,0.0009459563894407629,0.0027354229066328217,0.8254927663961735
ts_delta1_feature_086,0.004459776320116951,0.0028332922249806433,0.8254927568197822
feature_318,-0.0010077154598338949,-0.002899716245665812,0.8254927467301866
ts_lag1_feature_104,0.003991192828936367,-0.0003392419407075358,0.8254926924597182
ts_ema5_feature_104,0.003991084101048867,-0.00036529794267783206,0.8254926922469551
ts_historical_zscore20_feature_226,-0.004885834143755466,-0.004917823343808622,0.825492692029374
ts_ema20_feature_104,0.003990758828792666,-0.00046537214004839083,0.8254926910331821
ts_delta1_feature_227,-0.0005233153860149133,-0.0033451174645777234,0.8254926760085731
ts_historical_zscore20_feature_291,0.0035206266185987866,0.0014103730264721876,0.8254926096785176
ts_xs_rank_delta1_feature_112,0.002394664690979576,0.0016814172730207088,0.8254926079796729
ts_xs_rank_feature_053,0.001919108951783229,0.0028606419604588363,0.8254925979809924
ts_delta5_feature_197,0.0029151282763083125,-0.010977986614699927,0.8254925667279265
ts_xs_rank_feature_125,0.0031046414479822676,0.007164199158109954,0.8254924835067708
ts_xs_rank_delta1_feature_086,-0.000592428751365517,-0.0018309016913086867,0.8254924822503223
feature_176,0.0009861129703804194,0.0034464027716542387,0.8254924531383083
ts_xs_rank_delta1_feature_159,0.0003538491214781209,0.0023124152696157355,0.8254923930119872
feature_005,-0.0002180390609343059,-0.0035644087852497383,0.8254923919828338
ts_historical_zscore20_feature_301,-0.00292639522251296,-0.0008162727031136972,0.8254923830313536
